IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
132.145.83.155,33799,true,ICN,Asia Pacific,Seoul,75 ms,28665 kB/s
129.154.212.181,20309,true,NRT,Asia Pacific,Tokyo,81 ms,24335 kB/s
47.128.164.52,9999,true,SIN,Asia Pacific,Singapore,100 ms,24253 kB/s
129.154.212.181,44699,true,NRT,Asia Pacific,Tokyo,74 ms,23671 kB/s
118.163.128.81,17333,true,KHH,Asia Pacific,Kaohsiung City,87 ms,21392 kB/s
35.221.215.200,2023,true,TPE,Asia Pacific,Taipei,78 ms,20110 kB/s
47.242.60.161,443,true,HKG,Asia Pacific,Hong Kong,60 ms,17350 kB/s
146.56.177.67,61153,true,HKG,Asia Pacific,Hong Kong,106 ms,16913 kB/s
140.238.26.92,20855,true,HKG,Asia Pacific,Hong Kong,72 ms,14856 kB/s
193.122.122.16,40377,true,LAX,North America,Los Angeles,80 ms,14339 kB/s
217.163.76.88,443,true,SJC,North America,San Jose,172 ms,12984 kB/s
217.163.76.89,2053,true,SJC,North America,San Jose,171 ms,12920 kB/s
154.197.121.254,8443,true,SJC,North America,San Jose,185 ms,12852 kB/s
154.197.121.99,8443,true,SJC,North America,San Jose,170 ms,12691 kB/s
217.163.76.107,2053,true,SJC,North America,San Jose,169 ms,12520 kB/s
217.163.76.59,443,true,SJC,North America,San Jose,166 ms,12436 kB/s
4.193.57.231,500,true,SIN,Asia Pacific,Singapore,106 ms,12355 kB/s
217.163.76.75,443,true,SJC,North America,San Jose,171 ms,12347 kB/s
27.50.48.108,443,true,SJC,North America,San Jose,177 ms,11901 kB/s
154.197.121.127,443,true,SJC,North America,San Jose,171 ms,11822 kB/s
154.197.121.13,8443,true,SJC,North America,San Jose,170 ms,11714 kB/s
154.197.121.248,8443,true,SJC,North America,San Jose,177 ms,11707 kB/s
154.197.121.253,443,true,SJC,North America,San Jose,175 ms,11228 kB/s
202.81.231.30,55576,true,HKG,Asia Pacific,Hong Kong,85 ms,10016 kB/s
219.240.54.189,10434,true,ICN,Asia Pacific,Seoul,73 ms,9973 kB/s
45.251.240.229,34237,true,KIX,Asia Pacific,Osaka,89 ms,9919 kB/s
154.17.28.199,8001,true,LAX,North America,Los Angeles,168 ms,9690 kB/s
38.59.226.113,34237,true,LHR,Europe,London,204 ms,9540 kB/s
8.222.248.188,2096,true,SIN,Asia Pacific,Singapore,231 ms,9342 kB/s
8.222.215.228,2096,true,SIN,Asia Pacific,Singapore,229 ms,9127 kB/s
8.222.227.191,2083,true,SIN,Asia Pacific,Singapore,238 ms,9087 kB/s
47.236.83.239,2083,true,SIN,Asia Pacific,Singapore,228 ms,8943 kB/s
47.236.161.155,2053,true,SIN,Asia Pacific,Singapore,253 ms,8927 kB/s
8.222.136.196,2087,true,SIN,Asia Pacific,Singapore,219 ms,8886 kB/s
8.222.168.24,2087,true,SIN,Asia Pacific,Singapore,243 ms,8868 kB/s
218.54.200.63,30048,true,ICN,Asia Pacific,Seoul,66 ms,8837 kB/s
